,example_id,min_pass1_of_model,num_solved,models,pass1_of_ex,pass@any_of_ex,tau,example_link
142,django__django-14089,0.102,114,"['20240402_sweagent_claude3opus' '20240402_sweagent_gpt4'
 '20240509_amazon-q-developer-agent-20240430-dev'
 '20240617_factory_code_droid' '20240620_sweagent_claude3.5sonnet'
 '20240628_autocoderover-v20240620'
 '20240721_amazon-q-developer-agent-20240719-dev'
 '20240728_sweagent_gpt4o' '20240820_epam-ai-run-gpt-4o'
 '20240820_honeycomb' '20240824_gru'
 '20240918_lingma-agent_lingma-swe-gpt-72b'
 '20240918_lingma-agent_lingma-swe-gpt-7b' '20240920_solver'
 '20240924_solver' '20241001_nfactorial'
 '20241002_lingma-agent_lingma-swe-gpt-72b' '20241007_nfactorial'
 '20241016_composio_swekit' '20241016_epam-ai-run-gpt-4o'
 '20241022_tools_claude-3-5-haiku'
 '20241022_tools_claude-3-5-sonnet-updated' '20241023_emergent'
 '20241025_composio_swekit' '20241028_agentless-1.5_gpt4o'
 '20241028_solver' '20241029_OpenHands-CodeAct-2.1-sonnet-20241022'
 '20241029_epam-ai-run-claude-3-5-sonnet' '20240612_MASAI_gpt4o'
 '20241030_nfactorial' '20241105_nfactorial'
 '20241106_navie-2-gpt4o-sonnet'
 '20241108_autocoderover-v2.0-claude-3-5-sonnet-20241022' '20241108_devlo'
 '20241113_nebius-search-open-weight-models-11-24'
 '20241120_artemis_agent' '20241125_enginelabs'
 '20241125_marscode-agent-dev'
 '20241128_SWE-Fixer_Qwen2.5-7b-retriever_Qwen2.5-72b-editor_20241128'
 '20241202_agentless-1.5_claude-3.5-sonnet-20241022'
 '20241202_amazon-q-developer-agent-20241202-dev' '20241208_gru'
 '20241212_epam-ai-run-claude-3-5-sonnet'
 '20241212_google_jules_gemini_2.0_flash_experimental' '20241213_devlo'
 '20241221_codestory_midwit_claude-3-5-sonnet_swe-search'
 '20241223_emergent' '20250110_blackboxai_agent_v1.1' '20250112_ugaiforge'
 '20250117_wandb_programmer_o1_crosscheck5'
 '20250118_codeshellagent_gemini_2.0_flash_experimental'
 '20250120_Bracket'
 '20250122_autocoderover-v2.1-claude-3-5-sonnet-20241022'
 '20250203_openhands_4x_scaled' '20250206_agentscope'
 '20250214_agentless_lite_o3_mini' '20250224_tools_claude-3-7-sonnet'
 '20250225_sweagent_claude-3-7-sonnet' '20250226_swerl_llama3_70b'
 '20250228_epam-ai-run-claude-3-5-sonnet'
 '20250306_SWE-Fixer_Qwen2.5-7b-retriever_Qwen2.5-72b-editor'
 '20250316_augment_agent_v0'
 '20250405_amazon-q-developer-agent-20250405-dev' '20250410_cortexa'
 '20250415_openhands' '20250430_zencoder_ai'
 '20250503_patchpilot-v1.1-o4-mini' '20250511_sweagent_lm_32b'
 '20250514_aime_coder' '20250515_Refact_Agent' '20250516_cortexa_o3'
 '20250519_devlo' '20250519_trae' '20250520_openhands_devstral_small'
 '20250522_sweagent_claude-4-sonnet-20250514'
 '20250522_tools_claude-4-opus' '20250522_tools_claude-4-sonnet'
 '20250524_openhands_claude_4_sonnet' '20250527_amazon.nova-premier-v1.0'
 '20250528_patchpilot_Co-PatcheR' '20250603_Refact_Agent_claude-4-sonnet'
 '20250610_augment_agent_v1' '20250611_moatless_claude-4-sonnet-20250514'
 '20250612_trae' '20250405_swe-rizzo_claude37'
 '20250616_Skywork-SWE-32B+TTS_Bo8' '20250616_Skywork-SWE-32B'
 '20250623_warp' '20250627_agentless_MCTS-Refine-7B'
 '20250629_deepswerl_r2eagent' '20250629_deepswerl_r2eagent_tts'
 '20250710_bloop' '20250715_qodo_command' '20250716_openhands_kimi_k2'
 '20250720_Lingxi-v1.5_claude-4-sonnet-20250514'
 '20250725_sweagent_devstral_small_2507' '20250728_zai_glm4-5'
 '20250731_harness_ai' '20250804_codesweep_sweagent_kimi_k2_instruct'
 '20250804_epam-ai-run-claude-4-sonnet'
 '20250805_openhands-Qwen3-Coder-30B-A3B-Instruct'
 '20250805_openhands-Qwen3-Coder-480B-A35B-Instruct'
 '20250806_SWE-Exp_DeepSeek-V3' '20250807_openhands_gpt5'
 '20250819_ACoder' '20250901_entroPO_R2E_QwenCoder30BA3B'
 '20250901_entroPO_R2E_QwenCoder30BA3B_tts' '20250901_warp'
 '20250902_atlassian-rovo-dev' '20250915_JoyCode'
 '20250924_artemis_agent_v2' '20250928_trae_doubao_seed_code'
 '20250929_Prometheus_v1.2_gpt5' '20250930_zai_glm4-6']",0.926829268292683,0.926829268292683,0.3120272840785296,django__django-14089
143,django__django-14122,0.27,69,"['20240824_gru' '20241016_epam-ai-run-gpt-4o'
 '20241028_agentless-1.5_gpt4o'
 '20241029_OpenHands-CodeAct-2.1-sonnet-20241022'
 '20241029_epam-ai-run-claude-3-5-sonnet' '20241106_navie-2-gpt4o-sonnet'
 '20241108_autocoderover-v2.0-claude-3-5-sonnet-20241022'
 '20241113_nebius-search-open-weight-models-11-24' '20241125_enginelabs'
 '20241202_agentless-1.5_claude-3.5-sonnet-20241022'
 '20241202_amazon-q-developer-agent-20241202-dev'
 '20241212_epam-ai-run-claude-3-5-sonnet'
 '20241212_google_jules_gemini_2.0_flash_experimental' '20241213_devlo'
 '20241221_codestory_midwit_claude-3-5-sonnet_swe-search'
 '20241223_emergent' '20250110_learn_by_interact_claude3.5'
 '20250112_ugaiforge' '20250117_wandb_programmer_o1_crosscheck5'
 '20250118_codeshellagent_gemini_2.0_flash_experimental'
 '20250120_Bracket'
 '20250122_autocoderover-v2.1-claude-3-5-sonnet-20241022'
 '20250203_openhands_4x_scaled' '20250206_agentscope'
 '20250224_tools_claude-3-7-sonnet' '20250225_sweagent_claude-3-7-sonnet'
 '20250226_swerl_llama3_70b' '20250228_epam-ai-run-claude-3-5-sonnet'
 '20250316_augment_agent_v0'
 '20250405_amazon-q-developer-agent-20250405-dev' '20250410_cortexa'
 '20250415_openhands' '20250430_zencoder_ai'
 '20250503_patchpilot-v1.1-o4-mini' '20250514_aime_coder'
 '20250515_Refact_Agent' '20250516_cortexa_o3' '20250519_devlo'
 '20250519_trae' '20250520_openhands_devstral_small'
 '20250522_tools_claude-4-opus' '20250522_tools_claude-4-sonnet'
 '20250524_openhands_claude_4_sonnet' '20250528_patchpilot_Co-PatcheR'
 '20250603_Refact_Agent_claude-4-sonnet'
 '20250611_moatless_claude-4-sonnet-20250514' '20250612_trae'
 '20250405_swe-rizzo_claude37' '20250616_Skywork-SWE-32B+TTS_Bo8'
 '20250623_warp' '20250629_deepswerl_r2eagent'
 '20250629_deepswerl_r2eagent_tts' '20250710_bloop'
 '20250715_qodo_command' '20250716_openhands_kimi_k2'
 '20250720_Lingxi-v1.5_claude-4-sonnet-20250514' '20250728_zai_glm4-5'
 '20250731_harness_ai' '20250804_epam-ai-run-claude-4-sonnet'
 '20250805_openhands-Qwen3-Coder-480B-A35B-Instruct'
 '20250807_openhands_gpt5' '20250819_ACoder' '20250901_warp'
 '20250902_atlassian-rovo-dev' '20250915_JoyCode'
 '20250924_artemis_agent_v2' '20250928_trae_doubao_seed_code'
 '20250929_Prometheus_v1.2_gpt5' '20250930_zai_glm4-6']",0.5609756097560976,0.5609756097560976,0.5550734505171381,django__django-14122
144,django__django-14140,0.24,31,"['20240615_appmap-navie_gpt4o'
 '20240721_amazon-q-developer-agent-20240719-dev'
 '20240820_epam-ai-run-gpt-4o' '20241002_lingma-agent_lingma-swe-gpt-72b'
 '20241016_composio_swekit' '20241016_epam-ai-run-gpt-4o'
 '20241025_composio_swekit' '20241029_epam-ai-run-claude-3-5-sonnet'
 '20241030_nfactorial' '20241105_nfactorial'
 '20241106_navie-2-gpt4o-sonnet' '20241125_enginelabs'
 '20241202_amazon-q-developer-agent-20241202-dev'
 '20241212_google_jules_gemini_2.0_flash_experimental'
 '20250110_blackboxai_agent_v1.1' '20250110_learn_by_interact_claude3.5'
 '20250117_wandb_programmer_o1_crosscheck5'
 '20250118_codeshellagent_gemini_2.0_flash_experimental'
 '20250206_agentscope' '20250225_sweagent_claude-3-7-sonnet'
 '20250228_epam-ai-run-claude-3-5-sonnet'
 '20250405_amazon-q-developer-agent-20250405-dev'
 '20250520_openhands_devstral_small' '20250522_tools_claude-4-opus'
 '20250522_tools_claude-4-sonnet' '20250616_Skywork-SWE-32B+TTS_Bo8'
 '20250720_Lingxi-v1.5_claude-4-sonnet-20250514'
 '20250725_sweagent_devstral_small_2507' '20250807_openhands_gpt5'
 '20250819_ACoder' '20250915_JoyCode']",0.25203252032520324,0.25203252032520324,0.048087336504882464,django__django-14140
145,django__django-14155,,0,[],0.0,0.0,,django__django-14155
146,django__django-14170,0.634,2,['20250206_agentscope' '20250928_trae_doubao_seed_code'],0.016260162601626018,0.016260162601626018,0.12790080349172211,django__django-14170
147,django__django-14238,0.224,98,"['20240402_sweagent_gpt4' '20240620_sweagent_claude3.5sonnet'
 '20240628_autocoderover-v20240620'
 '20240721_amazon-q-developer-agent-20240719-dev'
 '20240728_sweagent_gpt4o' '20240820_epam-ai-run-gpt-4o'
 '20240820_honeycomb' '20240824_gru' '20240920_solver' '20240924_solver'
 '20241007_nfactorial' '20241016_composio_swekit'
 '20241016_epam-ai-run-gpt-4o' '20241022_tools_claude-3-5-sonnet-updated'
 '20241023_emergent' '20241028_agentless-1.5_gpt4o' '20241028_solver'
 '20241029_OpenHands-CodeAct-2.1-sonnet-20241022'
 '20241029_epam-ai-run-claude-3-5-sonnet' '20241030_nfactorial'
 '20241105_nfactorial' '20241106_navie-2-gpt4o-sonnet' '20241108_devlo'
 '20241113_nebius-search-open-weight-models-11-24' '20241125_enginelabs'
 '20241125_marscode-agent-dev'
 '20241202_agentless-1.5_claude-3.5-sonnet-20241022'
 '20241202_amazon-q-developer-agent-20241202-dev' '20241208_gru'
 '20241212_epam-ai-run-claude-3-5-sonnet'
 '20241212_google_jules_gemini_2.0_flash_experimental' '20241213_devlo'
 '20241221_codestory_midwit_claude-3-5-sonnet_swe-search'
 '20241223_emergent' '20250110_blackboxai_agent_v1.1'
 '20250110_learn_by_interact_claude3.5' '20250112_ugaiforge'
 '20250117_wandb_programmer_o1_crosscheck5'
 '20250118_codeshellagent_gemini_2.0_flash_experimental'
 '20250120_Bracket'
 '20250122_autocoderover-v2.1-claude-3-5-sonnet-20241022'
 '20250203_openhands_4x_scaled' '20250206_agentscope'
 '20250214_agentless_lite_o3_mini' '20250224_tools_claude-3-7-sonnet'
 '20250225_sweagent_claude-3-7-sonnet' '20250226_swerl_llama3_70b'
 '20250228_epam-ai-run-claude-3-5-sonnet' '20250316_augment_agent_v0'
 '20250405_amazon-q-developer-agent-20250405-dev' '20250410_cortexa'
 '20250415_openhands' '20250430_zencoder_ai'
 '20250503_patchpilot-v1.1-o4-mini' '20250511_sweagent_lm_32b'
 '20250514_aime_coder' '20250515_Refact_Agent' '20250516_cortexa_o3'
 '20250519_devlo' '20250519_trae'
 '20250522_sweagent_claude-4-sonnet-20250514'
 '20250522_tools_claude-4-opus' '20250522_tools_claude-4-sonnet'
 '20250524_openhands_claude_4_sonnet' '20250527_amazon.nova-premier-v1.0'
 '20250528_patchpilot_Co-PatcheR' '20250603_Refact_Agent_claude-4-sonnet'
 '20250610_augment_agent_v1' '20250611_moatless_claude-4-sonnet-20250514'
 '20250612_trae' '20250616_Skywork-SWE-32B+TTS_Bo8'
 '20250616_Skywork-SWE-32B' '20250623_warp' '20250629_deepswerl_r2eagent'
 '20250629_deepswerl_r2eagent_tts' '20250710_bloop'
 '20250715_qodo_command' '20250716_openhands_kimi_k2'
 '20250720_Lingxi-v1.5_claude-4-sonnet-20250514'
 '20250725_sweagent_devstral_small_2507' '20250728_zai_glm4-5'
 '20250731_harness_ai' '20250804_codesweep_sweagent_kimi_k2_instruct'
 '20250804_epam-ai-run-claude-4-sonnet'
 '20250805_openhands-Qwen3-Coder-30B-A3B-Instruct'
 '20250805_openhands-Qwen3-Coder-480B-A35B-Instruct'
 '20250806_SWE-Exp_DeepSeek-V3' '20250807_openhands_gpt5'
 '20250819_ACoder' '20250901_entroPO_R2E_QwenCoder30BA3B'
 '20250901_entroPO_R2E_QwenCoder30BA3B_tts' '20250901_warp'
 '20250902_atlassian-rovo-dev' '20250915_JoyCode'
 '20250924_artemis_agent_v2' '20250928_trae_doubao_seed_code'
 '20250929_Prometheus_v1.2_gpt5' '20250930_zai_glm4-6']",0.7967479674796748,0.7967479674796748,0.4828361561715742,django__django-14238
148,django__django-14311,0.422,50,"['20240920_solver' '20241023_emergent' '20241028_solver' '20241108_devlo'
 '20241125_enginelabs' '20241213_devlo'
 '20250110_learn_by_interact_claude3.5'
 '20250117_wandb_programmer_o1_crosscheck5' '20250120_Bracket'
 '20250206_agentscope' '20250214_agentless_lite_o3_mini'
 '20250224_tools_claude-3-7-sonnet' '20250316_augment_agent_v0'
 '20250405_amazon-q-developer-agent-20250405-dev' '20250410_cortexa'
 '20250415_openhands' '20250430_zencoder_ai'
 '20250503_patchpilot-v1.1-o4-mini' '20250514_aime_coder'
 '20250515_Refact_Agent' '20250516_cortexa_o3' '20250519_devlo'
 '20250519_trae' '20250522_sweagent_claude-4-sonnet-20250514'
 '20250522_tools_claude-4-opus' '20250522_tools_claude-4-sonnet'
 '20250524_openhands_claude_4_sonnet'
 '20250603_Refact_Agent_claude-4-sonnet' '20250610_augment_agent_v1'
 '20250611_moatless_claude-4-sonnet-20250514' '20250612_trae'
 '20250623_warp' '20250629_deepswerl_r2eagent'
 '20250629_deepswerl_r2eagent_tts' '20250710_bloop'
 '20250715_qodo_command' '20250716_openhands_kimi_k2'
 '20250720_Lingxi-v1.5_claude-4-sonnet-20250514' '20250728_zai_glm4-5'
 '20250731_harness_ai' '20250804_epam-ai-run-claude-4-sonnet'
 '20250805_openhands-Qwen3-Coder-480B-A35B-Instruct' '20250819_ACoder'
 '20250901_entroPO_R2E_QwenCoder30BA3B_tts' '20250901_warp'
 '20250902_atlassian-rovo-dev' '20250915_JoyCode'
 '20250928_trae_doubao_seed_code' '20250929_Prometheus_v1.2_gpt5'
 '20250930_zai_glm4-6']",0.4065040650406504,0.4065040650406504,0.6084991410406693,django__django-14311
149,django__django-14315,0.468,3,"['20250519_devlo' '20250520_openhands_devstral_small'
 '20250715_qodo_command']",0.024390243902439025,0.024390243902439025,0.09267121273755909,django__django-14315
150,django__django-14349,0.262,101,"['20240615_appmap-navie_gpt4o' '20240617_factory_code_droid'
 '20240620_sweagent_claude3.5sonnet' '20240628_autocoderover-v20240620'
 '20240721_amazon-q-developer-agent-20240719-dev' '20240820_honeycomb'
 '20240920_solver' '20240924_solver'
 '20241002_lingma-agent_lingma-swe-gpt-72b' '20241007_nfactorial'
 '20241016_composio_swekit' '20241016_epam-ai-run-gpt-4o'
 '20241022_tools_claude-3-5-haiku'
 '20241022_tools_claude-3-5-sonnet-updated' '20241023_emergent'
 '20241025_composio_swekit' '20241028_agentless-1.5_gpt4o'
 '20241028_solver' '20241029_OpenHands-CodeAct-2.1-sonnet-20241022'
 '20241029_epam-ai-run-claude-3-5-sonnet' '20240612_MASAI_gpt4o'
 '20241030_nfactorial' '20241105_nfactorial'
 '20241108_autocoderover-v2.0-claude-3-5-sonnet-20241022' '20241108_devlo'
 '20241113_nebius-search-open-weight-models-11-24'
 '20241120_artemis_agent' '20241125_enginelabs'
 '20241125_marscode-agent-dev'
 '20241128_SWE-Fixer_Qwen2.5-7b-retriever_Qwen2.5-72b-editor_20241128'
 '20241202_amazon-q-developer-agent-20241202-dev' '20241208_gru'
 '20241212_epam-ai-run-claude-3-5-sonnet'
 '20241212_google_jules_gemini_2.0_flash_experimental' '20241213_devlo'
 '20241221_codestory_midwit_claude-3-5-sonnet_swe-search'
 '20241223_emergent' '20250110_blackboxai_agent_v1.1'
 '20250110_learn_by_interact_claude3.5'
 '20250117_wandb_programmer_o1_crosscheck5'
 '20250118_codeshellagent_gemini_2.0_flash_experimental'
 '20250120_Bracket'
 '20250122_autocoderover-v2.1-claude-3-5-sonnet-20241022'
 '20250203_openhands_4x_scaled' '20250206_agentscope'
 '20250214_agentless_lite_o3_mini' '20250224_tools_claude-3-7-sonnet'
 '20250225_sweagent_claude-3-7-sonnet'
 '20250228_epam-ai-run-claude-3-5-sonnet'
 '20250306_SWE-Fixer_Qwen2.5-7b-retriever_Qwen2.5-72b-editor'
 '20250316_augment_agent_v0'
 '20250405_amazon-q-developer-agent-20250405-dev' '20250410_cortexa'
 '20250415_openhands' '20250430_zencoder_ai'
 '20250503_patchpilot-v1.1-o4-mini' '20250511_sweagent_lm_32b'
 '20250514_aime_coder' '20250515_Refact_Agent' '20250516_cortexa_o3'
 '20250519_devlo' '20250519_trae' '20250520_openhands_devstral_small'
 '20250522_sweagent_claude-4-sonnet-20250514'
 '20250522_tools_claude-4-opus' '20250522_tools_claude-4-sonnet'
 '20250524_openhands_claude_4_sonnet' '20250527_amazon.nova-premier-v1.0'
 '20250528_patchpilot_Co-PatcheR' '20250603_Refact_Agent_claude-4-sonnet'
 '20250610_augment_agent_v1' '20250611_moatless_claude-4-sonnet-20250514'
 '20250612_trae' '20250405_swe-rizzo_claude37'
 '20250616_Skywork-SWE-32B+TTS_Bo8' '20250616_Skywork-SWE-32B'
 '20250623_warp' '20250629_deepswerl_r2eagent'
 '20250629_deepswerl_r2eagent_tts' '20250710_bloop'
 '20250715_qodo_command' '20250716_openhands_kimi_k2'
 '20250720_Lingxi-v1.5_claude-4-sonnet-20250514'
 '20250725_sweagent_devstral_small_2507' '20250728_zai_glm4-5'
 '20250731_harness_ai' '20250804_codesweep_sweagent_kimi_k2_instruct'
 '20250804_epam-ai-run-claude-4-sonnet'
 '20250805_openhands-Qwen3-Coder-30B-A3B-Instruct'
 '20250805_openhands-Qwen3-Coder-480B-A35B-Instruct'
 '20250806_SWE-Exp_DeepSeek-V3' '20250807_openhands_gpt5'
 '20250819_ACoder' '20250901_entroPO_R2E_QwenCoder30BA3B'
 '20250901_entroPO_R2E_QwenCoder30BA3B_tts' '20250901_warp'
 '20250902_atlassian-rovo-dev' '20250915_JoyCode'
 '20250924_artemis_agent_v2' '20250929_Prometheus_v1.2_gpt5'
 '20250930_zai_glm4-6']",0.8211382113821138,0.8211382113821138,0.4252840002483937,django__django-14349
151,django__django-14351,0.288,41,"['20240628_autocoderover-v20240620'
 '20241002_lingma-agent_lingma-swe-gpt-72b' '20241030_nfactorial'
 '20241108_autocoderover-v2.0-claude-3-5-sonnet-20241022'
 '20241113_nebius-search-open-weight-models-11-24'
 '20241202_agentless-1.5_claude-3.5-sonnet-20241022'
 '20241212_google_jules_gemini_2.0_flash_experimental'
 '20250117_wandb_programmer_o1_crosscheck5' '20250203_openhands_4x_scaled'
 '20250224_tools_claude-3-7-sonnet' '20250225_sweagent_claude-3-7-sonnet'
 '20250228_epam-ai-run-claude-3-5-sonnet' '20250415_openhands'
 '20250503_patchpilot-v1.1-o4-mini' '20250514_aime_coder'
 '20250515_Refact_Agent' '20250516_cortexa_o3' '20250519_devlo'
 '20250520_openhands_devstral_small'
 '20250522_sweagent_claude-4-sonnet-20250514'
 '20250522_tools_claude-4-opus' '20250522_tools_claude-4-sonnet'
 '20250524_openhands_claude_4_sonnet'
 '20250603_Refact_Agent_claude-4-sonnet' '20250610_augment_agent_v1'
 '20250611_moatless_claude-4-sonnet-20250514' '20250612_trae'
 '20250405_swe-rizzo_claude37' '20250616_Skywork-SWE-32B+TTS_Bo8'
 '20250623_warp' '20250716_openhands_kimi_k2' '20250731_harness_ai'
 '20250804_epam-ai-run-claude-4-sonnet'
 '20250805_openhands-Qwen3-Coder-30B-A3B-Instruct'
 '20250805_openhands-Qwen3-Coder-480B-A35B-Instruct'
 '20250807_openhands_gpt5' '20250819_ACoder'
 '20250901_entroPO_R2E_QwenCoder30BA3B'
 '20250901_entroPO_R2E_QwenCoder30BA3B_tts' '20250901_warp'
 '20250929_Prometheus_v1.2_gpt5']",0.3333333333333333,0.3333333333333333,0.4002069100749206,django__django-14351
152,django__django-14373,0.07,118,"['20240402_rag_claude3opus' '20240402_sweagent_claude3opus'
 '20240402_sweagent_gpt4' '20240509_amazon-q-developer-agent-20240430-dev'
 '20240615_appmap-navie_gpt4o' '20240617_factory_code_droid'
 '20240620_sweagent_claude3.5sonnet' '20240628_autocoderover-v20240620'
 '20240721_amazon-q-developer-agent-20240719-dev'
 '20240728_sweagent_gpt4o' '20240820_epam-ai-run-gpt-4o'
 '20240820_honeycomb' '20240824_gru'
 '20240918_lingma-agent_lingma-swe-gpt-72b'
 '20240918_lingma-agent_lingma-swe-gpt-7b' '20240920_solver'
 '20240924_solver' '20241001_nfactorial'
 '20241002_lingma-agent_lingma-swe-gpt-72b'
 '20241002_lingma-agent_lingma-swe-gpt-7b' '20241007_nfactorial'
 '20241016_composio_swekit' '20241016_epam-ai-run-gpt-4o'
 '20241022_tools_claude-3-5-haiku'
 '20241022_tools_claude-3-5-sonnet-updated' '20241023_emergent'
 '20241025_composio_swekit' '20241028_agentless-1.5_gpt4o'
 '20241028_solver' '20241029_OpenHands-CodeAct-2.1-sonnet-20241022'
 '20241029_epam-ai-run-claude-3-5-sonnet' '20240612_MASAI_gpt4o'
 '20241030_nfactorial' '20241105_nfactorial'
 '20241106_navie-2-gpt4o-sonnet'
 '20241108_autocoderover-v2.0-claude-3-5-sonnet-20241022' '20241108_devlo'
 '20241113_nebius-search-open-weight-models-11-24'
 '20241120_artemis_agent' '20241125_enginelabs'
 '20241125_marscode-agent-dev'
 '20241128_SWE-Fixer_Qwen2.5-7b-retriever_Qwen2.5-72b-editor_20241128'
 '20241202_agentless-1.5_claude-3.5-sonnet-20241022'
 '20241202_amazon-q-developer-agent-20241202-dev' '20241208_gru'
 '20241212_epam-ai-run-claude-3-5-sonnet'
 '20241212_google_jules_gemini_2.0_flash_experimental' '20241213_devlo'
 '20241221_codestory_midwit_claude-3-5-sonnet_swe-search'
 '20241223_emergent' '20250110_blackboxai_agent_v1.1'
 '20250110_learn_by_interact_claude3.5' '20250112_ugaiforge'
 '20250117_wandb_programmer_o1_crosscheck5'
 '20250118_codeshellagent_gemini_2.0_flash_experimental'
 '20250120_Bracket'
 '20250122_autocoderover-v2.1-claude-3-5-sonnet-20241022'
 '20250203_openhands_4x_scaled' '20250206_agentscope'
 '20250214_agentless_lite_o3_mini' '20250224_tools_claude-3-7-sonnet'
 '20250225_sweagent_claude-3-7-sonnet' '20250226_swerl_llama3_70b'
 '20250228_epam-ai-run-claude-3-5-sonnet'
 '20250306_SWE-Fixer_Qwen2.5-7b-retriever_Qwen2.5-72b-editor'
 '20250316_augment_agent_v0'
 '20250405_amazon-q-developer-agent-20250405-dev' '20250410_cortexa'
 '20250415_openhands' '20250430_zencoder_ai'
 '20250503_patchpilot-v1.1-o4-mini' '20250511_sweagent_lm_32b'
 '20250514_aime_coder' '20250515_Refact_Agent' '20250516_cortexa_o3'
 '20250519_devlo' '20250519_trae' '20250520_openhands_devstral_small'
 '20250522_sweagent_claude-4-sonnet-20250514'
 '20250522_tools_claude-4-opus' '20250522_tools_claude-4-sonnet'
 '20250524_openhands_claude_4_sonnet' '20250527_amazon.nova-premier-v1.0'
 '20250528_patchpilot_Co-PatcheR' '20250603_Refact_Agent_claude-4-sonnet'
 '20250610_augment_agent_v1' '20250611_moatless_claude-4-sonnet-20250514'
 '20250612_trae' '20250405_swe-rizzo_claude37'
 '20250616_Skywork-SWE-32B+TTS_Bo8' '20250616_Skywork-SWE-32B'
 '20250623_warp' '20250627_agentless_MCTS-Refine-7B'
 '20250629_deepswerl_r2eagent' '20250629_deepswerl_r2eagent_tts'
 '20250710_bloop' '20250715_qodo_command' '20250716_openhands_kimi_k2'
 '20250720_Lingxi-v1.5_claude-4-sonnet-20250514'
 '20250725_sweagent_devstral_small_2507' '20250728_zai_glm4-5'
 '20250731_harness_ai' '20250804_codesweep_sweagent_kimi_k2_instruct'
 '20250804_epam-ai-run-claude-4-sonnet'
 '20250805_openhands-Qwen3-Coder-30B-A3B-Instruct'
 '20250805_openhands-Qwen3-Coder-480B-A35B-Instruct'
 '20250806_SWE-Exp_DeepSeek-V3' '20250807_openhands_gpt5'
 '20250819_ACoder' '20250901_entroPO_R2E_QwenCoder30BA3B'
 '20250901_entroPO_R2E_QwenCoder30BA3B_tts' '20250901_warp'
 '20250902_atlassian-rovo-dev' '20250915_JoyCode'
 '20250924_artemis_agent_v2' '20250928_trae_doubao_seed_code'
 '20250929_Prometheus_v1.2_gpt5' '20250930_zai_glm4-6']",0.959349593495935,0.959349593495935,0.2809820098693142,django__django-14373
153,django__django-14376,0.436,20,"['20240920_solver' '20241028_solver'
 '20241221_codestory_midwit_claude-3-5-sonnet_swe-search'
 '20250225_sweagent_claude-3-7-sonnet'
 '20250405_amazon-q-developer-agent-20250405-dev' '20250430_zencoder_ai'
 '20250515_Refact_Agent' '20250516_cortexa_o3' '20250519_devlo'
 '20250522_tools_claude-4-opus' '20250524_openhands_claude_4_sonnet'
 '20250528_patchpilot_Co-PatcheR' '20250716_openhands_kimi_k2'
 '20250804_epam-ai-run-claude-4-sonnet'
 '20250805_openhands-Qwen3-Coder-480B-A35B-Instruct'
 '20250807_openhands_gpt5' '20250819_ACoder' '20250902_atlassian-rovo-dev'
 '20250915_JoyCode' '20250928_trae_doubao_seed_code']",0.16260162601626016,0.16260162601626016,0.35197561567023844,django__django-14376
154,django__django-14404,0.468,29,"['20241105_nfactorial' '20241125_enginelabs' '20241125_marscode-agent-dev'
 '20241221_codestory_midwit_claude-3-5-sonnet_swe-search'
 '20250110_blackboxai_agent_v1.1' '20250110_learn_by_interact_claude3.5'
 '20250120_Bracket' '20250228_epam-ai-run-claude-3-5-sonnet'
 '20250415_openhands' '20250430_zencoder_ai'
 '20250503_patchpilot-v1.1-o4-mini' '20250516_cortexa_o3' '20250519_devlo'
 '20250519_trae' '20250520_openhands_devstral_small'
 '20250522_tools_claude-4-opus' '20250610_augment_agent_v1'
 '20250612_trae' '20250405_swe-rizzo_claude37' '20250623_warp'
 '20250716_openhands_kimi_k2' '20250804_epam-ai-run-claude-4-sonnet'
 '20250807_openhands_gpt5' '20250901_warp' '20250902_atlassian-rovo-dev'
 '20250915_JoyCode' '20250928_trae_doubao_seed_code'
 '20250929_Prometheus_v1.2_gpt5' '20250930_zai_glm4-6']",0.23577235772357724,0.23577235772357724,0.4163095400822767,django__django-14404
